price;year;condition;cylinders;odometer;title_status;transmission;drive;size;lat;long;weather
28990;2013;2;6;58140;clean;automatic;4wd;full-size;45,978572;-94,342018;43
8950;2010;2;8;168260;clean;automatic;4wd;;40,120838;-77,028586;53
24988;2012;2;8;92871;clean;automatic;4wd;full-size;36,137597;-86,761799;59
20980;2011;3;6;73000;clean;automatic;4wd;full-size;38,210411;-84,548431;50
34999;2015;3;6;76002;clean;automatic;4wd;mid-size;44,52039;-88,06645;45
24888;2014;3;8;62084;clean;automatic;4wd;;47,830597;-110,662694;40
35998;2016;3;8;27417;clean;automatic;4wd;mid-size;44,52039;-88,06645;45
11500;2011;3;8;218000;clean;automatic;4wd;full-size;30,244371;-89,760584;67
7995;2000;3;8;183000;clean;automatic;rwd;full-size;39,363221;-121,686417;59
5400;2001;2;8;174000;clean;automatic;4wd;full-size;34,1124;-83,9965;59
13890;2011;3;8;142624;clean;automatic;4wd;full-size;43,15506;-75,930719;53
1;1997;2;8;247500;clean;automatic;;;26,6281;-82,0182;65
26500;2015;3;6;68000;clean;automatic;4wd;;42,436074;-96,213515;47
7500;2002;3;8;122000;clean;automatic;4wd;;41,3914;-75,6657;53
11000;2008;2;8;153000;lien;automatic;4wd;;43,124894;-86,174485;45
24993;2012;3;6;73737;clean;automatic;4wd;mid-size;44,52039;-88,06645;45
21900;2015;2;6;149616;clean;automatic;4wd;full-size;31,316064;-89,437114;61
5999;2004;3;8;113784;clean;automatic;4wd;full-size;27,873066;-82,786729;65
6500;2009;1;8;186484;clean;automatic;rwd;;37,545834;-97,242182;51
22994;2012;3;6;73737;clean;automatic;4wd;mid-size;44,52039;-88,06645;45
8495;2008;3;8;175000;clean;automatic;4wd;full-size;43,567639;-116,577928;47
24995;2015;3;8;85585;clean;automatic;4wd;;40,007891;-104,818353;45
21795;2015;2;6;103217;clean;automatic;4wd;full-size;35,796126;-78,554108;56
18900;2012;3;8;57000;rebuilt;automatic;4wd;full-size;40,254049;-76,035991;53
4500;1986;2;8;154000;clean;automatic;rwd;full-size;30,9524;-86,4003;65
10900;2007;2;8;120000;clean;automatic;4wd;full-size;41,07435;-85,171308;48
1499;1990;1;6;175000;clean;automatic;rwd;;38,7768;-76,0758;56
39894;2015;3;6;29531;clean;automatic;4wd;mid-size;44,52039;-88,06645;45
14950;2014;2;8;139325;clean;other;4wd;full-size;38,692648;-82,857744;49
7900;1997;3;8;93000;clean;automatic;rwd;full-size;44,633134;-75,251276;53
5500;1984;3;6;122000;rebuilt;automatic;rwd;;41,061777;-81,686515;49
3981;2008;2;6;156000;clean;automatic;rwd;full-size;44,9913;-92,9487;43
21900;2010;2;8;122275;clean;automatic;4wd;full-size;31,316064;-89,437114;61
22988;2012;3;6;132010;clean;automatic;4wd;;45,121187;-92,693325;45
30127;2015;3;8;38943;clean;automatic;4wd;mid-size;43,75891;-87,75358;45
3300;1998;3;8;151800;clean;automatic;rwd;full-size;36,060895;-115,248768;46
3800;1997;3;6;99500;clean;automatic;rwd;full-size;43,141162;-78,683072;53
35403;2016;3;6;22375;clean;automatic;4wd;mid-size;43,75891;-87,75358;45
9900;2008;3;8;137779;clean;automatic;;;26,92;-82,3048;65
500;2000;1;6;189208;clean;manual;rwd;full-size;39,72656;-82,711506;49
27995;2015;3;8;113168;clean;automatic;4wd;full-size;38,671618;-94,36651;52
37500;2017;4;6;13000;clean;automatic;4wd;full-size;35,1204;-76,9842;56
6999;2005;3;8;116116;clean;automatic;rwd;full-size;27,872735;-82,787042;65
5995;2001;3;8;154946;clean;automatic;4wd;;48,9372;-122,4592;50
13988;2011;2;6;146699;clean;automatic;4wd;full-size;42,892121;-85,665539;45
21890;2016;3;6;46203;clean;automatic;rwd;full-size;43,154559;-75,931234;53
17995;2009;2;8;120312;clean;other;4wd;full-size;45,049163;-93,035945;43
34500;2017;4;6;18800;clean;automatic;4wd;full-size;33,4812;-88,3554;61
